percentile,threshold,TPR,FPR,precision,F1,detection_rate_%
50,0.002731714,0.9901477832512267,0.49999999999998745,0.9095022624434348,0.9481132075466662,99.01477832512266
52,0.0027894482,0.9901477832512267,0.4749999999999881,0.9136363636363595,0.9503546099285743,99.01477832512266
54,0.0028287035,0.9901477832512267,0.44999999999998874,0.917808219178078,0.9526066350705861,99.01477832512266
56,0.0029294605,0.9852216748768424,0.44999999999998874,0.9174311926605463,0.9501187648451017,98.52216748768424
58,0.0029958633,0.9802955665024583,0.42499999999998933,0.9212962962962921,0.9498806682572525,98.02955665024584
60,0.0030251432,0.9753694581280741,0.39999999999999,0.9252336448598087,0.9496402877692799,97.5369458128074
62,0.003043739,0.9753694581280741,0.3749999999999906,0.929577464788728,0.9519230769225726,97.5369458128074
64,0.0031162035,0.9655172413793056,0.3749999999999906,0.9289099526066307,0.9468599033811381,96.55172413793056
66,0.0031554953,0.9655172413793056,0.3499999999999912,0.9333333333333289,0.9491525423723769,96.55172413793056
68,0.0032129346,0.9655172413793056,0.32499999999999185,0.9377990430621965,0.9514563106791072,96.55172413793056
70,0.0032798222,0.9655172413793056,0.2999999999999925,0.9423076923076878,0.9537712895372084,96.55172413793056
72,0.0033399595,0.9655172413793056,0.27499999999999314,0.946859903381638,0.9560975609751051,96.55172413793056
74,0.0033483393,0.9605911330049214,0.27499999999999314,0.9466019417475683,0.953545232273334,96.05911330049214
76,0.003708897,0.9310344827586161,0.24999999999999373,0.9497487437185882,0.9402985074621819,93.10344827586161
78,0.0043134503,0.8374384236453161,0.22499999999999437,0.9497206703910561,0.8900523560204396,83.7438423645316
80,0.0048966315,0.7783251231527055,0.199999999999995,0.9518072289156569,0.8563685636851371,77.83251231527055
82,0.005002814,0.7684729064039372,0.199999999999995,0.9512195121951161,0.8501362397815173,76.84729064039372
84,0.005093315,0.7487684729064003,0.1749999999999956,0.9559748427672896,0.8397790055243645,74.87684729064003
86,0.0055257683,0.6699507389162529,0.14999999999999625,0.9577464788732327,0.7884057971009604,66.9950738916253
88,0.00613958,0.6059113300492581,0.12499999999999686,0.9609374999999926,0.7432024169179501,60.591133004925815
90,0.0069610006,0.5073891625615738,0.0999999999999975,0.9626168224298975,0.6645161290318017,50.73891625615738
92,0.008908762,0.325123152709358,0.0999999999999975,0.9428571428571294,0.4835164835160986,32.5123152709358
94,0.010437435,0.2512315270935948,0.07499999999999812,0.9444444444444269,0.3968871595327389,25.12315270935948
96,0.011543652,0.20689655172413693,0.04999999999999875,0.9545454545454328,0.3400809716596235,20.689655172413694
98,0.01280748,0.17733990147783163,0.024999999999999373,0.9729729729729466,0.2999999999997367,17.733990147783164
