Quarter,N_Images,Mean_MSE,Std_MSE,Ref_Q3_Mean,Ref_Q3_Std,Drift_%,P_Value,Drift_Detected
Q2,7,0.0064764167,0.0036905094,0.003909768,0.0027308352,65.64709,0.1590514164720418,False
Q4,203,0.008820517,0.0059353095,0.003909768,0.0027308352,125.60205,1.350749929703526e-12,True
