Sensor_ID,N_Train,N_Val,N_Test_2021,N_Test_2022,Mean_MSE_2021,Std_MSE_2021,Mean_MSE_2022,Std_MSE_2022,Drift_Magnitude_%,MannWhitney_U,P_Value,Drift_Detected
Sensor1,53,11,12,105,0.003590989,0.0014332115,0.04557904,0.008616017,1169.2614555358887,0.0,1.5552201066873295e-08,True
Sensor2,56,12,13,98,0.0027110295,0.0005573073,0.03573953,0.0066660875,1218.3011054992676,0.0,5.312504848115283e-09,True
Sensor3,59,13,13,84,0.003762477,0.0022525773,0.020204559,0.0024168424,437.0015621185303,0.0,7.629314550828772e-09,True
Sensor4,70,15,15,103,0.0023940785,0.00065191445,0.047116604,0.0050426065,1868.0475234985352,0.0,4.462689434652235e-10,True
Sensor5,59,13,13,106,0.005436938,0.0026922422,0.032942247,0.0066707237,505.89704513549805,0.0,4.487191012277286e-09,True
Sensor6,55,12,12,106,0.0029060815,0.0010309088,0.028892064,0.004206044,894.193172454834,0.0,1.5284293432106305e-08,True
Sensor7,56,12,12,106,0.0040014074,0.0015722445,0.021637816,0.0033731314,440.75512886047363,0.0,1.5284293432106305e-08,True
Sensor8,70,15,15,106,0.003623805,0.0013041749,0.01904708,0.00325483,425.60997009277344,0.0,4.132593284725492e-10,True
Sensor9,65,14,14,106,0.0055813612,0.00089982396,0.028188782,0.00470172,405.0520896911621,0.0,1.3471711258241603e-09,True
