percentile,threshold,TPR,FPR,precision,F1,detection_rate_%
50,0.0068889284,0.4285714285713673,0.49999999999998745,0.13043478260869,0.1999999999996289,42.85714285713673
52,0.007323046,0.4285714285713673,0.4749999999999881,0.13636363636363016,0.20689655172375745,42.85714285713673
54,0.0073402454,0.4285714285713673,0.44999999999998874,0.14285714285713608,0.21428571428532397,42.85714285713673
56,0.007559056,0.4285714285713673,0.44999999999998874,0.14285714285713608,0.21428571428532397,42.85714285713673
58,0.0076273433,0.4285714285713673,0.42499999999998933,0.1499999999999925,0.2222222222218217,42.85714285713673
60,0.00806639,0.4285714285713673,0.39999999999999,0.15789473684209696,0.23076923076881953,42.85714285713673
62,0.008783441,0.4285714285713673,0.3749999999999906,0.16666666666665741,0.2399999999995776,42.85714285713673
64,0.009130113,0.2857142857142449,0.3749999999999906,0.1176470588235225,0.1666666666662396,28.57142857142449
66,0.009212611,0.2857142857142449,0.3499999999999912,0.1249999999999922,0.17391304347782235,28.57142857142449
68,0.009330351,0.2857142857142449,0.32499999999999185,0.13333333333332445,0.1818181818177314,28.57142857142449
70,0.009435085,0.2857142857142449,0.2999999999999925,0.14285714285713266,0.19047619047572792,28.57142857142449
72,0.009549972,0.2857142857142449,0.27499999999999314,0.153846153846142,0.199999999999525,28.57142857142449
74,0.010282444,0.2857142857142449,0.27499999999999314,0.153846153846142,0.199999999999525,28.57142857142449
76,0.010474101,0.2857142857142449,0.24999999999999373,0.16666666666665278,0.21052631578898615,28.57142857142449
78,0.011014232,0.2857142857142449,0.22499999999999437,0.18181818181816528,0.22222222222172222,28.57142857142449
80,0.011736176,0.2857142857142449,0.199999999999995,0.19999999999998,0.2352941176465467,28.57142857142449
82,0.011825078,0.2857142857142449,0.199999999999995,0.19999999999998,0.2352941176465467,28.57142857142449
84,0.012078676,0.2857142857142449,0.1749999999999956,0.22222222222219754,0.24999999999947656,28.57142857142449
86,0.0122379325,0.2857142857142449,0.14999999999999625,0.24999999999996875,0.26666666666613337,28.57142857142449
88,0.013198908,0.14285714285712245,0.12499999999999686,0.16666666666663887,0.15384615384563313,14.285714285712245
90,0.015203554,0.14285714285712245,0.0999999999999975,0.19999999999996,0.16666666666615276,14.285714285712245
92,0.016039645,0.14285714285712245,0.0999999999999975,0.19999999999996,0.16666666666615276,14.285714285712245
94,0.016958492,0.14285714285712245,0.07499999999999812,0.2499999999999375,0.18181818181768594,14.285714285712245
96,0.017509734,0.14285714285712245,0.04999999999999875,0.33333333333322224,0.19999999999954002,14.285714285712245
98,0.01874693,0.14285714285712245,0.024999999999999373,0.49999999999975,0.22222222222182714,14.285714285712245
