percentile,threshold,TPR,FPR,precision,F1,detection_rate_%
50,0.0030095545,0.9950738916256109,0.49999999999998745,0.9099099099099058,0.9505882352936142,99.50738916256108
52,0.0030759012,0.9950738916256109,0.4749999999999881,0.9140271493212628,0.9528301886787417,99.50738916256108
54,0.0031780093,0.9950738916256109,0.44999999999998874,0.918181818181814,0.9550827423162812,99.50738916256108
56,0.0032502196,0.9901477832512267,0.44999999999998874,0.917808219178078,0.9526066350705861,99.01477832512266
58,0.003272133,0.9852216748768424,0.42499999999998933,0.921658986175111,0.9523809523804484,98.52216748768424
60,0.0033143382,0.9753694581280741,0.39999999999999,0.9252336448598087,0.9496402877692799,97.5369458128074
62,0.003373455,0.9704433497536898,0.3749999999999906,0.9292452830188636,0.9493975903609415,97.04433497536898
64,0.0033835834,0.9704433497536898,0.3749999999999906,0.9292452830188636,0.9493975903609415,97.04433497536898
66,0.0034380557,0.9704433497536898,0.3499999999999912,0.9336492890995217,0.9516908212555343,97.04433497536898
68,0.0037068836,0.9655172413793056,0.32499999999999185,0.9377990430621965,0.9514563106791072,96.55172413793056
70,0.0040462315,0.9556650246305372,0.2999999999999925,0.9417475728155295,0.9486552567232118,95.56650246305371
72,0.00430095,0.9261083743842319,0.27499999999999314,0.9447236180904476,0.9353233830840726,92.61083743842319
74,0.0043115783,0.9261083743842319,0.27499999999999314,0.9447236180904476,0.9353233830840726,92.61083743842319
76,0.004405525,0.9261083743842319,0.24999999999999373,0.9494949494949447,0.9376558603486225,92.61083743842319
78,0.0045044157,0.9211822660098477,0.22499999999999437,0.9540816326530563,0.9373433583954853,92.11822660098477
80,0.004621937,0.8965517241379266,0.199999999999995,0.9578947368421002,0.9262086513989869,89.65517241379266
82,0.0048265015,0.881773399014774,0.199999999999995,0.9572192513368933,0.9179487179482141,88.17733990147741
84,0.005524703,0.7980295566502424,0.1749999999999956,0.9585798816567991,0.8709677419349835,79.80295566502424
86,0.0062073823,0.6847290640394055,0.14999999999999625,0.9586206896551659,0.7988505747121529,68.47290640394054
88,0.0066700485,0.5911330049261054,0.12499999999999686,0.9599999999999924,0.7317073170726945,59.11330049261054
90,0.0069081895,0.5418719211822633,0.0999999999999975,0.964912280701746,0.6940063091478,54.187192118226335
92,0.0076462673,0.4729064039408844,0.0999999999999975,0.9599999999999904,0.6336633663361873,47.29064039408844
94,0.008955916,0.3743842364532001,0.07499999999999812,0.9620253164556841,0.5390070921981744,37.438423645320015
96,0.010077198,0.29064039408866854,0.04999999999999875,0.9672131147540824,0.4469696969693383,29.064039408866854
98,0.010756163,0.2758620689655159,0.024999999999999373,0.9824561403508599,0.43076923076888507,27.58620689655159
