percentile,threshold,TPR,FPR,precision,F1,detection_rate_%
50,0.12065598,0.4285714285713673,0.49999999999998745,0.13043478260869,0.1999999999996289,42.85714285713673
52,0.12172368,0.4285714285713673,0.4749999999999881,0.13636363636363016,0.20689655172375745,42.85714285713673
54,0.12470951,0.4285714285713673,0.44999999999998874,0.14285714285713608,0.21428571428532397,42.85714285713673
56,0.1339295,0.4285714285713673,0.44999999999998874,0.14285714285713608,0.21428571428532397,42.85714285713673
58,0.13626045,0.4285714285713673,0.42499999999998933,0.1499999999999925,0.2222222222218217,42.85714285713673
60,0.13788857,0.4285714285713673,0.39999999999999,0.15789473684209696,0.23076923076881953,42.85714285713673
62,0.1399417,0.4285714285713673,0.3749999999999906,0.16666666666665741,0.2399999999995776,42.85714285713673
64,0.14000751,0.4285714285713673,0.3749999999999906,0.16666666666665741,0.2399999999995776,42.85714285713673
66,0.14103903,0.4285714285713673,0.3499999999999912,0.17647058823528375,0.24999999999956599,42.85714285713673
68,0.14318535,0.4285714285713673,0.32499999999999185,0.18749999999998831,0.2608695652169452,42.85714285713673
70,0.14498906,0.4285714285713673,0.2999999999999925,0.19999999999998666,0.2727272727268141,42.85714285713673
72,0.14547502,0.4285714285713673,0.27499999999999314,0.21428571428569898,0.2857142857138141,42.85714285713673
74,0.14666523,0.4285714285713673,0.27499999999999314,0.21428571428569898,0.2857142857138141,42.85714285713673
76,0.14811991,0.4285714285713673,0.24999999999999373,0.23076923076921302,0.299999999999515,42.85714285713673
78,0.14911483,0.4285714285713673,0.22499999999999437,0.24999999999997916,0.3157894736837119,42.85714285713673
80,0.15040646,0.4285714285713673,0.199999999999995,0.27272727272724795,0.333333333332821,42.85714285713673
82,0.15384528,0.4285714285713673,0.199999999999995,0.27272727272724795,0.333333333332821,42.85714285713673
84,0.1541423,0.4285714285713673,0.1749999999999956,0.29999999999997,0.35294117647006223,42.85714285713673
86,0.1549117,0.4285714285713673,0.14999999999999625,0.3333333333332963,0.37499999999946093,42.85714285713673
88,0.15599038,0.4285714285713673,0.12499999999999686,0.37499999999995315,0.3999999999994489,42.85714285713673
90,0.158352,0.4285714285713673,0.0999999999999975,0.4285714285713673,0.42857142857086733,42.85714285713673
92,0.16882578,0.14285714285712245,0.0999999999999975,0.19999999999996,0.16666666666615276,14.285714285712245
94,0.17261022,0.14285714285712245,0.07499999999999812,0.2499999999999375,0.18181818181768594,14.285714285712245
96,0.17471528,0.14285714285712245,0.04999999999999875,0.33333333333322224,0.19999999999954002,14.285714285712245
98,0.17861459,0.0,0.024999999999999373,0.0,0.0,0.0
